,Airport_code,Airport_name,Airport_address,Airport_description
0,aal,Aalborg Lufthavn,Aalborg Denmark,"Located in the city of Nørresundby, Aalborg Airport is the third largest in Denmark and serves the city of Aalborg."
1,aar,Aarhus Airport,Aarhus Denmark,"Originally built in 1946, Aarhus Airport has since been the “temporary” primary airport for the city of Aarhus, despite being located in the city of Tirstrup nearly 50 kilometers away."
2,aba,Abakan International Airport,Abakan Russia,"Abakan International Airport is located in Abakan, Republic of Khakassia, Russia."
3,abc,Aeropuerto de Albacete,Albacete Spain,"Opened in 1929, Albacete Airport is located on Los Llanos Air Base and serves the city of Albacete."
4,abe,Lehigh Valley International Airport,Allentown PA USA,"Opened in 1929 and still operating from its original location, Lehigh Valley International gets its airport code from its former name: Allentown–Bethlehem–Easton International."
5,abi,Abilene Regional Airport,Abilene TX USA,Abilene Regional dates back to the 1930s and gets its three-letter airport code from its home in the city of Abilene.
6,abj,Aéroport International Félix Houphouët-Boigny,Abidjan Ivory Coast,"Félix Houphouët-Boigny International is named after the first President of Côte d’Ivoire, or Ivory Coast. While located in the town of Port-Bouët, it serves the city of Abidjan."
7,abq,Albuquerque International Sunport,Albuquerque NM USA,"Opened in 1939, New Mexico’s largest airport gets its name and airport code from its home in Albuquerque."
8,abv,Nnamdi Azikiwe International Airport,Abuja Nigeria,"Nnamdi Azikiwe International is named after the first Nigerian President. Its airport code comes from the city of Abuja, but unable to use ABU, they replaced the ‘U’ with the letter ‘V’."
9,abz,Aberdeen International Airport,Aberdeen UK,"Opened in 1934, Aberdeen International is located in the suburb of Dyce and serves the city of Aberdeen. Its three-letter code is completed with a filler letter ‘Z’."
10,aca,Aeropuerto Internacional General Juan N. Álvarez,Acapulco GR Mexico,"Named after Juan Álvarez, military general and interim President of Mexico, Acapulco International is an important tourist gateway for the resorts and beaches of Acapulco."
11,acc,Kotoka International Airport,Accra Ghana,"Kotoka International is named after Lieutenant General Emmanuel Kwasi Kotoka and is the only international airport in Ghana. Its airport code comes from the city it serves, Accra."
12,ace,Aeropuerto de Lanzarote,Lanzarote Spain,Lanzarote Airport began accepting civil traffic in 1946. It serves the island of Lanzarote and gets its airport code from the nearby city of Arrecife.
13,ack,Nantucket Memorial Airport,Nantucket MA USA,"When airport codes switched from two letters to three, the U.S. Navy reserved all codes starting with ‘N’. Nantucket Memorial, then, used other letters in its name to get ACK."
14,acy,Atlantic City International Airport,Atlantic City NJ USA,"Originally built in 1942 as a naval air station, Atlantic City International is now a joint civilian and military airfield and home to the Atlantic City Air National Guard Base."
15,ada,Adana Havalimanı,Adana Turkey,"Adana Şakirpaşa Airport, located in Adana, Turkey, is the sixth-busiest airport in the country, serving 5.6 million passengers in 2016."
16,add,Addis Ababa Bole International Airport,Addis Ababa Ethiopia,"Formerly Haile Selassie I Airport, Addis Ababa Bole International is located in the subcity of Bole and serves the capital city of Addis Ababa."
17,adl,Adelaide Airport,Adelaide SA Australia,"First established in 1955, the main airport for Adelaide, Australia gets its airport code from its home in ADeLaide."
18,aep,Aeroparque Jorge Newbery,Buenos Aires Argentina,Jorge Newbery Airfield serves as the main airport for the city of Buenos Aires and is named after an Argentine aviator. Its airport code comes from its Spanish name Aeroparque Jorge Newbery.
19,aer,Sochi International Airport,Sochi Russia,Sochi International served as the main airport for the 22nd Winter Olympics held in Sochi in 2014. Its airport code comes from its home in the Adlersky District.
20,aes,"Ålesund lufthavn, Vigra",Ålesund Norway,"Officially opened in 1958, Ålesund Airport is located on the island of Vigra and serves the city of Ålesund."
21,aex,Alexandria International Airport,Alexandria LA USA,"Previously known as England Air Force Base, Alexandria International gets its three-letter code from its home in Alexandria."
22,aey,Akureyrarflugvöllur,Akureyri Iceland,"A single-runway international airport in Akureyri, nothern Iceland."
23,aga,Agadir–Al Massira Airport,Agadir Morocco,"With a capacity of 3 million travelers per year, Agadir – Al Massira Airport gets its airport code from the city of Agadir."
24,agb,Flughafen Augsburg,Augsburg Germany,"Originally opened in 1968, Augsburg Airport is located in Affing and serves the city of Augsburg."
25,agc,Allegheny County Airport,West Mifflin PA USA,"Dedicated in 1931, Allegheny County Airport was originally designed to be Pittsburgh’s primary airport. Located in West Mifflin, it serves Allegheny County."
26,agp,Aeropuerto de Málaga-Costa del Sol,Málaga Spain,"Located in Málaga, Costa del Sol Airport didn’t think MAL was a good option as “mal” means “bad” in Spanish. Instead, it opted to use letters from Málaga and a filler letter ‘P’."
27,ags,Augusta Regional Airport,Augusta GA USA,"First established as a flight school for the U.S. military, Augusta Regional has become a significant hub for the Central Savannah River Area (CSRA). Its airport code comes from the city of Augusta."
28,agu,Aeropuerto Internacional Lic. Jesús Terán Peredo,Aguascalientes AG Mexico,"Jesús Terán Peredo International is named after a former governor of Aguascalientes, the city and state from which its airport code derives."
29,ahb,Abha Regional Airport,Abha Saudi Arabia,"Opened in 1977, Abha Regional gets its three-letter airport code from rearranged letters in the city name of Abha."
30,aja,Aéroport d’Ajaccio-Napoléon-Bonaparte,Ajaccio France,"Ajaccio Napoleon Bonaparte Airport serves as the main gateway to the island of Corsica in the Mediterranean Sea. It is located directly at sea level close to the city of Ajaccio, which is also the birthplace of Napoleon Bonaparte."
31,ajf,Al-Jawf Domestic Airport,Sakakah Saudi Arabia,"Featuring a single runway, Al-Jawf Domestic Airport serves the city of Sakakah and gets its name and airport code from the city’s alternate name, Al-Jawf."
32,ajl,Lengpui Airport,Aizawl MZ India,Lengpui Airport gets its name from the nearby Lengpui Village. Its airport code comes from an alternate spelling of its home city of Aizawl: Aijal.
33,aju,Aeroporto Aracaju–Santa Maria,Aracaju SE Brazil,"Officially inaugurated in 1958, Aracaju–Santa Maria Airport gets its three-letter code from its home in the city of Aracaju."
34,akc,Akron Fulton International Airport,Akron OH USA,"Opened in 1929, Akron Fulton International is named after longtime manager Bain Ecarius “Shorty” Fulton. The code AKR was given to Akure Airport in Nigeria, so Akron uses AKC for Akron City."
35,akl,Auckland Airport,Auckland New Zealand,"Once the site for the Mangere Aerodrome, New Zealand’s busiest airport is located in Mangere, a suburb of Auckland."
36,akx,Aktobe Airport,Aktobe Kazakhstan,"Aktobe Airport gets its three-letter code from its home city of Aktobe. It is completed with a letter ‘X’, often used as a filler letter."
37,ala,Almaty International Airport,Almaty Kazakhstan,Almaty International is Kazakhstan’s largest international airport. It is located 15km northeast from the city of Almaty and was formerly known as Alma-Ata Airport.
38,alb,Albany International Airport,Albany NY USA,"Albany International was the first municipal airport in the United States. It is the major air center for the Capital Region, northeastern New York, and western New England."
39,alc,Aeropuerto de Alicante-Elche,Alicante Spain,"Originally named El Altet, Alicante–Elche Airport is the sixth busiest airport in Spain. Located in Elche, it serves the cities of Valencia, Murcia, and Alicante."
40,alg,Houari Boumediene Airport,Algiers Algeria,"Opened in 1924 as Maison Blanche Airport, Houari Boumediene Airport is now named after a former President of Algeria. Its airport code honors its home in the city of Algiers."
41,als,San Luis Valley Regional Airport,Alamosa CO USA,"Opened in early 1941, it is owned by the City and County of Alamosa and is named for Carl A. Bergman, a local businessman and initial supporter of the airport."
42,ama,Rick Husband Amarillo International Airport,Amarillo TX USA,"Opened in 1929 as English Field, Amarillo Airport was renamed in 2003 to honor Rick Husband, NASA astronaut who died in the Space Shuttle Columbia disaster. Its code honors the city of Amarillo."
43,amd,Sardar Vallabhbhai Patel International Airport,Ahmedabad GJ India,Sardar Vallabhbhai Patel International is named after India’s first Deputy Prime Minister. Its airport code honors its home in the beautiful city of Ahmedabad.
44,amm,Queen Alia International Airport,Amman Jordan,"Named after Queen Alia, third wife to the late King Hussein, Jordan’s largest airport is located in Zizya, 30 km (20 mi) south of the capital city of Amman."
45,amq,Bandar Udara Pattimura,Ambon Indonesia,"Pattimura Airport is named after Thomas Matulessy, also known as Kapitan Pattimura, Indonesian soldier and national hero. Its airport code comes from the city of Ambon plus a ‘Q’, often used as a filler letter."
46,ams,Luchthaven Schiphol,Amsterdam Netherlands,"The name “Schiphol” came from the nearby Fort Schiphol, which translates to “ship grave” in English. Its airport code honors the city of Amsterdam."
47,anc,Ted Stevens Anchorage International Airport,Anchorage AK USA,"In 2009, Anchorage International was renamed to honor U.S. Senator Ted Stevens, but its airport code still honors its home in Anchorage."
48,ang,Aéroport international d'Angoulême-Cognac,Angoulême France,Angoulême – Cognac International is located between Brie and Champniers and serves the city of Angoulême.
49,anr,Internationale Luchthaven Antwerpen,Antwerp Belgium,Antwerp International is a small scale airport serving Belgium’s second biggest city. Its airport code refers directly to the city of Antwerp.
50,ans,Aeropuerto Andahuaylas,Andahuaylas Peru,Andahuaylas Airport is the only airport in the Apurímac Region that serves commercial flights. Its three-letter code comes from the city of Andahuaylas.
51,anu,V. C. Bird International Airport,Saint John’s Antigua and Barbuda,"Built in 1942 by the U.S. Army as Coolidge Airfield, V. C. Bird International was renamed in 1985 in honor of the country’s first Prime Minister, Vere Cornwall Bird Sr. Its airport code comes from the island’s name, Antigua."
52,aoi,Aeroporto Raffaello Sanzio di Ancona-Falconara ,Ancona Italy,"Raffaello Sanzio Airport is named after the famous Renaissance artist, internationally known as Raphael. Located in Falconara Marittima, it serves the city of Ancona, Italy."
53,apa,Centennial Airport,Denver CO USA,Centennial Airport serves the Denver-Aurora metro area in Colorado. It is located in the town of Dove Valley and was previously known Arapahoe County Airport.
54,apw,Faleolo International Airport,Apia Samoa,"Faleolo Airport was built during World War II by the U.S. Navy. Its airport code comes from the capital city of Apia and the country’s name at the time of its designation, Western Samoa."
55,aqj,King Hussein International Airport,Aqaba Jordan,"King Hussein International is located within a 15-mile radius of Egypt, Saudi Arabia, and Israel. Its airport code honors its home in the city of Aqaba, Jordan."
56,aqp,Aeropuerto Internacional Alférez Alfredo Rodríguez Ballón,Arequipa Peru,Alfredo Rodríguez Ballón International shares its name with the Peruvian aviator. Its airport code honors its home in the city of Arequipa.
